Client_Num,Card_Category,Annual_Fees,Activation_30_Days,Customer_Acq_Cost,Week_Start_Date,Week_Num,Qtr,current_year,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Ct,Avg_Utilization_Ratio,Use Chip,Exp Type,Interest_Earned,Delinquent_Acc
963607849,Blue,300,1,108,2023-12-31,Week-53,Q4,2023,14315.00,690,9603,56,0.048,Swipe ,Entertainment,598.690,0
932954954,Blue,175,1,96,2023-12-31,Week-53,Q4,2023,5711.00,0,4325,72,0.000,Swipe ,Fuel,691.200,0
961650885,Blue,195,0,76,2023-12-31,Week-53,Q4,2023,3104.00,1766,9353,24,0.569,Swipe ,Travel,216.480,0
917695309,Blue,495,1,72,2023-12-31,Week-53,Q4,2023,2553.00,1823,3853,69,0.714,Chip ,Grocery,1001.780,0
957309271,Blue,100,0,172,2023-12-31,Week-53,Q4,2023,2476.00,1944,4025,65,0.785,Chip ,Fuel,845.250,0
967838008,Blue,95,0,117,2023-12-31,Week-53,Q4,2023,13362.00,0,4155,79,0.000,Online ,Grocery,1080.300,0
953057861,Blue,400,0,103,2023-12-31,Week-53,Q4,2023,3868.00,1384,4716,79,0.358,Swipe ,Food,943.200,0
945043270,Blue,335,1,62,2023-12-31,Week-53,Q4,2023,1764.00,0,8540,47,0.000,Chip ,Entertainment,794.600,0
947028265,Blue,365,0,115,2023-12-31,Week-53,Q4,2023,26108.00,1146,3677,70,0.044,Chip ,Entertainment,956.020,0
949911663,Blue,410,1,102,2023-12-31,Week-53,Q4,2023,16199.00,0,4254,82,0.000,Chip ,Food,1148.580,0
943996401,Blue,330,0,145,2023-12-31,Week-53,Q4,2023,6162.00,943,9527,35,0.153,Online ,Bills,259.590,0
929315398,Blue,140,1,119,2023-12-31,Week-53,Q4,2023,13429.00,1246,3929,66,0.093,Swipe ,Grocery,1060.830,0
943593234,Blue,325,1,104,2023-12-31,Week-53,Q4,2023,8230.00,1333,7736,84,0.162,Swipe ,Grocery,464.160,0
934327500,Blue,150,1,85,2023-12-31,Week-53,Q4,2023,13349.00,0,3534,78,0.000,Swipe ,Entertainment,353.400,0
911454729,Blue,375,0,87,2023-12-31,Week-53,Q4,2023,2646.00,872,4246,80,0.330,Swipe ,Grocery,509.520,0
935287245,Blue,480,0,79,2023-12-31,Week-53,Q4,2023,5384.00,1396,4338,75,0.259,Swipe ,Entertainment,390.420,0
961848959,Blue,295,1,48,2023-12-31,Week-53,Q4,2023,2421.00,1029,2377,56,0.425,Swipe ,Bills,356.550,0
947702871,Blue,110,1,59,2023-12-31,Week-53,Q4,2023,2667.00,1590,4596,85,0.596,Swipe ,Bills,689.400,0
922362219,Blue,430,1,89,2023-12-31,Week-53,Q4,2023,1438.30,0,2614,49,0.000,Online ,Grocery,522.800,0
924088631,Blue,485,0,73,2023-12-31,Week-53,Q4,2023,3114.00,1059,4342,62,0.340,Chip ,Travel,1128.920,0
950336899,Blue,150,0,76,2023-12-31,Week-53,Q4,2023,31668.00,810,1802,36,0.026,Swipe ,Grocery,145.760,0
925516289,Blue,355,1,75,2023-12-31,Week-53,Q4,2023,4589.00,1240,1637,61,0.270,Swipe ,Bills,114.590,0
943430295,Blue,150,0,90,2023-12-31,Week-53,Q4,2023,2170.00,1498,4569,79,0.690,Chip ,Entertainment,548.280,0
915913364,Blue,415,0,46,2023-12-31,Week-53,Q4,2023,16043.00,2036,5394,28,0.127,Online ,Entertainment,236.980,0
966969386,Blue,335,0,123,2023-12-31,Week-53,Q4,2023,2210.00,759,2755,53,0.343,Swipe ,Entertainment,440.800,0
913497216,Blue,200,1,76,2023-12-31,Week-53,Q4,2023,2363.00,978,2635,40,0.414,Swipe ,Fuel,395.250,0
956347577,Blue,490,1,116,2023-12-31,Week-53,Q4,2023,1438.30,0,1445,38,0.000,Swipe ,Bills,245.650,0
953007255,Blue,430,0,141,2023-12-31,Week-53,Q4,2023,3116.00,0,2768,45,0.000,Swipe ,Bills,553.600,0
955406656,Blue,300,0,111,2023-12-31,Week-53,Q4,2023,3232.00,1564,13142,112,0.484,Swipe ,Fuel,1971.300,0
947484249,Blue,300,1,103,2023-12-31,Week-53,Q4,2023,6145.00,1349,4893,93,0.220,Chip ,Entertainment,733.950,0
941380773,Blue,150,1,148,2023-12-31,Week-53,Q4,2023,1738.00,0,2572,62,0.000,Swipe ,Bills,540.120,0
931132980,Blue,320,1,110,2023-12-31,Week-53,Q4,2023,2601.00,1888,4899,62,0.726,Chip ,Food,832.830,0
917790215,Blue,325,1,111,2023-12-31,Week-53,Q4,2023,3024.00,1649,4463,89,0.545,Swipe ,Entertainment,267.780,0
956622169,Blue,200,0,42,2023-12-31,Week-53,Q4,2023,2084.00,1647,19597,37,0.790,Swipe ,Fuel,159.700,0
951838000,Blue,125,0,98,2023-12-31,Week-53,Q4,2023,3809.00,1165,2306,46,0.306,Chip ,Fuel,184.480,1
945116424,Blue,225,1,75,2023-12-31,Week-53,Q4,2023,8940.00,1518,14459,97,0.170,Swipe ,Entertainment,3903.930,0
968501827,Blue,95,1,124,2023-12-31,Week-53,Q4,2023,2761.00,1950,4510,88,0.706,Swipe ,Grocery,992.200,0
931999941,Blue,355,0,147,2023-12-31,Week-53,Q4,2023,15468.00,1187,4484,81,0.077,Chip ,Food,538.080,0
941573611,Blue,465,0,118,2023-12-31,Week-53,Q4,2023,2157.00,721,4250,85,0.334,Swipe ,Grocery,510.000,0
916963751,Blue,275,0,88,2023-12-31,Week-53,Q4,2023,8398.00,1892,1489,29,0.225,Swipe ,Bills,387.140,1
918786049,Blue,330,0,119,2023-12-31,Week-53,Q4,2023,3186.00,968,4077,75,0.304,Swipe ,Bills,1060.020,0
913812366,Blue,125,0,117,2023-12-31,Week-53,Q4,2023,2694.00,1833,3366,56,0.680,Chip ,Fuel,403.920,0
915143266,Blue,175,1,75,2023-12-31,Week-53,Q4,2023,13301.00,0,15385,50,0.000,Swipe ,Bills,96.950,0
930291935,Blue,245,1,86,2023-12-31,Week-53,Q4,2023,2722.00,1473,3129,69,0.541,Swipe ,Bills,281.610,0
915205717,Blue,250,1,85,2023-12-31,Week-53,Q4,2023,1706.00,0,2320,42,0.000,Swipe ,Bills,580.000,0
958819124,Blue,125,0,81,2023-12-31,Week-53,Q4,2023,5268.00,2191,2138,40,0.416,Swipe ,Grocery,299.320,0
952357833,Blue,175,0,100,2023-12-31,Week-53,Q4,2023,2209.00,0,3292,52,0.000,Swipe ,Bills,460.880,0
916571137,Blue,125,0,108,2023-12-31,Week-53,Q4,2023,14324.00,2507,2083,56,0.175,Swipe ,Fuel,479.090,0
949434569,Blue,245,1,73,2023-12-31,Week-53,Q4,2023,5349.00,1228,1343,30,0.230,Swipe ,Bills,335.750,0
932064980,Blue,175,0,103,2023-12-31,Week-53,Q4,2023,7970.00,0,1284,30,0.000,Swipe ,Entertainment,269.640,0
945888653,Blue,425,1,155,2023-12-31,Week-53,Q4,2023,5073.00,1533,13420,122,0.302,Chip ,Food,2415.600,0
966959006,Blue,360,0,108,2023-12-31,Week-53,Q4,2023,3377.00,948,1407,44,0.281,Swipe ,Fuel,281.400,0
940222172,Blue,445,1,73,2023-12-31,Week-53,Q4,2023,1462.00,0,2299,42,0.000,Swipe ,Food,390.830,0
945679996,Blue,110,1,116,2023-12-31,Week-53,Q4,2023,4131.00,785,906,22,0.190,Swipe ,Grocery,244.620,0
943617000,Blue,175,1,113,2023-12-31,Week-53,Q4,2023,4311.00,822,4965,94,0.191,Swipe ,Food,1241.250,0
915597750,Blue,220,0,112,2023-12-31,Week-53,Q4,2023,21322.00,2216,8693,91,0.104,Swipe ,Entertainment,2651.670,0
922338165,Blue,445,1,83,2023-12-31,Week-53,Q4,2023,4606.00,1556,4363,78,0.338,Swipe ,Food,741.710,0
960285137,Blue,290,0,86,2023-12-31,Week-53,Q4,2023,5219.00,1081,3481,78,0.207,Swipe ,Food,661.390,0
925267022,Blue,270,1,106,2023-12-31,Week-53,Q4,2023,4637.00,0,4583,86,0.000,Swipe ,Bills,366.640,0
911841712,Blue,245,0,110,2023-12-31,Week-53,Q4,2023,1438.30,1025,9702,12,0.713,Swipe ,Travel,189.540,0
964700464,Blue,275,0,101,2023-12-31,Week-53,Q4,2023,4216.00,1290,13787,121,0.306,Swipe ,Bills,1792.310,0
936122170,Blue,410,0,106,2023-12-31,Week-53,Q4,2023,3512.00,2517,1801,48,0.717,Chip ,Bills,306.170,0
923514448,Blue,480,1,81,2023-12-31,Week-53,Q4,2023,1801.00,0,5047,79,0.000,Swipe ,Fuel,1261.750,0
926012720,Blue,340,0,89,2023-12-31,Week-53,Q4,2023,5330.00,1161,1441,43,0.218,Swipe ,Bills,417.890,0
941519974,Blue,385,1,76,2023-12-31,Week-53,Q4,2023,31762.00,2517,1515,36,0.079,Swipe ,Fuel,121.200,0
916567210,Blue,435,0,64,2023-12-31,Week-53,Q4,2023,2691.00,811,4413,80,0.301,Swipe ,Entertainment,441.300,0
944464634,Gold,95,0,91,2023-12-31,Week-53,Q4,2023,4003.00,1851,15476,117,0.462,Online ,Travel,2476.160,0
952224747,Blue,250,1,42,2023-12-31,Week-53,Q4,2023,9959.00,2377,1560,39,0.239,Swipe ,Entertainment,374.400,0
925793959,Blue,290,0,160,2023-12-31,Week-53,Q4,2023,2302.00,1593,2689,49,0.692,Swipe ,Food,161.340,0
967293518,Blue,125,0,112,2023-12-31,Week-53,Q4,2023,8314.00,1349,5028,80,0.162,Swipe ,Grocery,1156.440,0
955565234,Blue,250,1,110,2023-12-31,Week-53,Q4,2023,3616.00,1054,687,17,0.291,Swipe ,Food,192.360,0
918805142,Blue,245,1,110,2023-12-31,Week-53,Q4,2023,7359.00,0,2869,43,0.000,Chip ,Bills,717.250,0
925079819,Silver,100,0,114,2023-12-31,Week-53,Q4,2023,34516.00,1433,1966,31,0.042,Swipe ,Grocery,432.520,0
915620067,Blue,440,0,73,2023-12-31,Week-53,Q4,2023,2517.00,0,3569,62,0.000,Swipe ,Grocery,856.560,0
928594927,Silver,100,1,83,2023-12-31,Week-53,Q4,2023,34516.00,1118,7734,74,0.032,Swipe ,Fuel,1237.440,0
924230663,Blue,405,0,76,2023-12-31,Week-53,Q4,2023,1654.00,0,1730,30,0.000,Swipe ,Bills,173.000,0
967647198,Blue,125,1,85,2023-12-31,Week-53,Q4,2023,3400.00,2307,4742,90,0.679,Chip ,Bills,1185.500,0
916404493,Blue,95,0,139,2023-12-31,Week-53,Q4,2023,2926.00,716,4219,78,0.245,Swipe ,Grocery,1181.320,0
951324437,Blue,245,1,47,2023-12-31,Week-53,Q4,2023,3065.00,1570,1130,28,0.512,Swipe ,Bills,259.900,1
948632519,Blue,365,1,80,2023-12-31,Week-53,Q4,2023,34516.00,1440,7168,88,0.042,Swipe ,Travel,716.800,0
935734897,Blue,125,1,79,2023-12-31,Week-53,Q4,2023,6854.00,0,4578,72,0.000,Swipe ,Entertainment,1098.720,0
927629610,Blue,410,0,147,2023-12-31,Week-53,Q4,2023,3853.00,696,2443,38,0.181,Chip ,Grocery,610.750,0
